English	Field	Amharic 
lens eye	Zo	ሌንሳዊ አይን
lenticel	Bt	ግንደትንቧ (የግንድ መተንፈሻ  ቧንቧ)
lenticular cloud	Gg	ምስሬ ደመና
Lenz's law	Py	የሌንዝ ህግ
lepromatous	Me	ቆማጭ ስጋደዌ
leprosy	Me	ስጋደዌ ፣ ቁምጥና ፣ ደረመን
lepton	Py	ሊፕተን
lequminous	Bt	ድብላዊ ዝንቡጤ
lesion	Me	ቁስለት
lesser trochanter	Zo	ትንሹ ጉጠ አፅመጭን
less than (<)	Ma	ከ… ያንሳል
let-down reflex	Nu	ልቀት
lethal	Py	ቀሳፊ
lethal dose	Py	ቀሳፊ ውስድ
lethal dose	St	ገዳይ ልኬት
leucine	Nu	ሉሲን
leucocyte	Me	ነጭ ደም ህዋስ
lecoplast	Bt	ስታርች አቀፍ
leukemia	Zo	ስሀነጭ ደም
levator muscle	Zo	አውጭ ጡንቻ
levee	Gg	ከታር (የሚቆርጥ ፣ የሚያድግ)
levee	Gl	ግድብ
level	Bc	ውሃልክ
level	Ch	ደረጃ ፣ እርከን
level	Py	ደረጃ
leveling	Bc	ከፍ ልከት
level of significance	St	የጉልህነት ደረጃ
lever Bc		መፈንቅል (መፈንቀያ)
lever Em		መፈንቅል
lever p		መፈንቅል
lever arm	Py	የመፈንቅል እጀታ
LGV lymphogranuloma venerium)	Me	ባምቡሌ
liana	Gg	ሃረግ
libido	Ag	ቃቃታ
libration	Py	ውለት
lichen	Bt	ድንጋይ ሽበት
lichen	Gg	በለሴት
life cycle	Zo	ዑደት ህይወት
life expectancy	St	ህይወት ዘመን ግምት
life table	St	ህይወት ዘመን ሰንጠረዥ
life time	Py	እድሜ ልክ
lift	Py	ማንሻ (ሊፍት)
ligament	Me	ጅማት፣ ምራን
ligament	Zo	ማዕሰር
ligand	Ch	አጋሪ
light (breeze)	Gg	ቀላል (ለም ነፋስ)
light	Py	ብርሃን
light air	Gg	ቀላል አየር
light-dead light	Bc	ሙት ብርሃን
light emitting diode	Em	ብርሃን ወለድ ክሌዎድ
lightening	Py	መብረቅ
lightening arrester	Em	መብረቅ መከላከያ (ተከላካይ)
lightening conductor	Py	መብረቅ አስተላላፊ
ligheter	Ch	መለኮሻ
light house	Gg	ባርማማፋና (ባህር ማማ)
light intensity	Py	የብርሃን ብክረት
light microscope	Bt	ብርሃን ማይሮስኮፕ
light pavement light	Bc	ብርሃን ዝልቅ
light reaction	Bt	ብሃን አፀግብሮት
light soil	Ag	ቀላልፈር
light weight	Bc	ኢከባድ
light year	Gg	ብርሃን አመት
light year	Py	የብርሃን አመት
lighnan	Ch	ሊግናን
lignin	Ch	ሊግኒን
lignite	Gg	ብርኬ ከሰል
ligule	Bt	ምላሶ
likeness	Bc	ተመሳስሎ
limb	Gg	ቅጥይ
limb	Me	ክንፍ አካል
limbs	Zo	መሆር (ትግሪኛ)
lime	Bc	ኖራ
lime	Gg	ኖራ
lime crust	Gl	ኖራ ቅርፊት
limestone	Ch	ኖራ ድንጋይ
limestone	Gg	ኖራ ድንጋይ
lime stone	Gl	ኖራ ድንጋይ
lime stone cavern	Gl	ኖራ ድንጋይ አሸዋ
liming	Ag	ማጋህየት
limit	Ma	ወሰን
limit (in dimensioning)	Em	ወሰን
limit	Py	ወሰን
limit design	Bc	ውስናቅም ዲዛይን
limiter	Em	ወሳኝቃ
limiter	Py	ወሳኝ
limiting factor	Bt	ወሳኝ ደንቢ
limiting reagent	Ch	ወሳኝ አዋሃጅ
limiting resistor	Em	መጣኝ ከል
limit of proportionality	Py	የምዝነትነት ወሰን
limit of resolution	Py	የፍተት ወሰን
limits of integration	Ma	የእጎራ ወሰኖች
limnology	Gg	ሰነሃይቅ
limonite	Bc	ሊሞኒት
line	Bc	መስመር
line	Ma	መስመር
line base line	Bc	መነሻ መስመር
line centre line	Bc	መሀል መስመር
line datum line	Bc	መነሻ መስመር
linear	Ma	መስመራዊ
linear	Py	መስመራዊ
linear algebra	Ma	መስመራዊ አልጀብራ
linear algebra combinaion	Ma	መስመራዊ ምርጦሽ
linear algebra conductor	Py	መስመራዊ አስተላላፊ
linear equation	St	ቀጥታ እኩያ
linear expansion	Py	መስመራዊ መስፋፋት
linear form	Ma	መስመራዊ ቅርፅ
linear map (mapping)	Ma	መስመራዊ ጉድኝት (መስመረኛ አጓዳኝ)
linear model	St	ቀጥታ ሞዴል
linear momentum	Py	መስመራዊ እንድርድረት
linear ordering	St	መስራዊ ስርቶሽ
linear relationship	Ma	ቀጥታ ዝምድና
linear settlement	Gg	መስመራማ ሰፈራ
linear transformation	Ma	መስራዊ ሽግግር
linear trend	St	ቀጥታ አዝማሚያ
lineation	Gg	ስምረት (ከሰመረ)
line graph	Gg	መሰመር ቀመር (ግራፍ)
line of centres	Ma	የእምብርቶች መስመር
line segment	Ma	ጉማጅ መስመር
lines of force	Py	የሃይል መስመሮች
lines spectrum	Ch	መስመራማ እስፔክትረም
line spectrum	Py	የመስመር እስፔክትረም
line squall	Gg	ተነፈር መስመር
lingual franca	Gg	ነጋዴ ቋንቋ
link	Py	ግንኙነት
linkage	Em	ማያያዣ
linkage	Py	ግንኙነት
linkage	Zo	ትይይዝ
linkage of genes (gene linkage)	Zo	ትይይዘ በራሂ
linked genes	Zo	ተያያዥ በራሂዎች
link relative	St	ጉርብት ንፅር
lintel	Bc	አሸጋግራ
lip seal	Em	ሊሞቦ ማሸጊያ
lipase	Nu	ሊፔዝ
lipase	Zo	ሊፔዝ
lipid	Bt	ሊፒድ
lipoma	Me	ወሸ
liquefaction	Ch	ፈሰሳ
liquefaction	Py	ማሟሟት
liquefiable	Ch	ተፈሳሽነት
liquefy	Ch	ማፈሰስ
liquid	Ch	ፈሳሽ
liquid	Py	ፈሳሽ
liquid chromatography	Ch	ፈሳሽ ክሮማቶግራፊ
liquidity	Ch	ፍስነት
liquid propelant	Py	ወንጫፊ ፈሳሽ
liquid state	Py	የፈሳሽ ሁነት
list price	Ma	ምድብ ዋጋ
lithification	Gg	መደንገይ (ድንጋይታ) (ወደ ድንጋይ መለወጥ)
lithification	Gl	መደንገይ
lithology	Gl	ድንጋያዊ
lithorganic stone	Gg	እብነፅፍ ድንጋይ
lithosol	Gg	ጭንጫ
lithosphere	Gg	ምድረ ዕብን
lithosphere	Gl	ግዑዝ ክበብ
lithostratigraphy	Gl	ግዑዛዊ ስነንብብሮሽ
lithotomy	Me	እንግልብጥ
litmus	Me	ሊትመስ
litmus paper	Ch	ሊትመስ  ወረቀት
litmus solution	Ch	ሊትመስ ሙሙት
litte	Ag	ጉዝጓዝ
littoral	Gg	ቃሊማሞ
littoral	Gl	ማዕበል ደረስ (ለመሬት)
live birth	St	ህልው ልደት
liver	Me	ጉበት
liverfluke	Ag	ጉበትል
liverwort	Bt	ጉብ ዕፅ
livestock	Ag	ለማዳ እንስሳት
load	Bc	ክብደጽ
load:design load	Bc	ዲዛይን ክብደት
load: fir load	Bc	ኃይል ሙቃጥል
load: lateral load	Bc	አእግድም ግፊት
load: live load	Bc	ተንቀሳቃሽ ክብደት
load: moving load	Bc	ተንቀሳቃሽ ክብደት
load: safe load	Bc	ችግር አልባ
load: super imposed-load	Bc	ሙታው ክብደት
load (of a river)	Gg	ጫና (የወንዝ)
load	Py	ሽክመት
load stone	Em	ተፈጥሯዊ መግነጢስ
load stone	Py	የሸክመት ድንጊያ (ማግኔት)
loam	Gl	አሸክላፈር (የሸክላ አፈር)
loam soil	Gg	ሸክልማ አፈር
lobar	Me	ግርባዊ
lobe	Me	ግርብ
lobular	Me	ግርባባዊ
lobule	Me	ግርባብ
local	Py	ቀዬያዊ
local action	Py	ቀዬያዊ ግብር
locality	Gg	መስፈር
localized	Ch	ምሱግ
local time	Gg	መሰፈረ ጊዜ
local wind	Gg	መስፈረ ነፋስ
loch	Gg	ሃይቅ
lochia	Me	አራስ ፍሶ
lock	Bc	እናት ቁልፍ
lock-nut	Em	ቆላሳሪ (ቆላፊ አሳሪ)
lock-pin	Em	ቆላፊ ቅትርት
lock-washer	Em	ቆላፊ አደላዳይ
locomotion	Ag	ለልወሳ
locomotion	Zo	ሁረት
locomotive	Em	ጎታች
locus (ene locus)	Zo	ነጥብ
lode	Gg	ጥግ፟ር (ከድንጋይ ተለይቶ የሚታይ ማእድን)
lode	Gl	ሽክመት
loess	Gg	ሽክልማ ንፍ፟ስ
loess	Gl	ነፋስ ክምችት
log	Ag	ጉራጅ
logarithm	Ma	ሎጋሪዝም
logarithmic function	Ma	የሎጋሪዝም ቅንተዛምዶ
loggia	Bc	ግርድ ሰገነት
logging saw	Em	ግንደ መጋዝ
logic	Ma	ሎጂክ
logical connection	Ma	ሎጅካዊ አገናኝ
logical reasoning	Ma	ሎጅካዊ አመክንዮ
loin	Ag	ገቡ
loin	Me	ሸፊት
lone pair	Ch	ብቸኛ ጥድ
lont-day plant (s)	Ag	ረዥም መአልት እፅ
longday plant	Bt	ረዥም መአልት እፅ
longevity (seeds)	Ag	ርዝመህላዊ (ርዝመላዌ) ዘሮች
long horn	Ag	ቀንደ መለሎ
longitude	Gg	ኬንትሮስ
longitudnal	Em	ቁመትዮሽ
longitudinal	Py	ኬክሮሳዊ
longitudinal coast	Gg	ገግድሞሽ ጠረፍ
longitudinal muscle	Zo	ጋድማይ ጡንቻ
longitudinal valley	Gg	ግድሞሽ ሸለቆ
lontitudinal vivration	Py	ኬክሮሳዊ ርግብጋቤ
longitudinal wave	Py	ኬክሮሳዊ ሞገድ
longshore current	Gl	ሰበር ሞገድ
longshore drift	Gg	ባርዳርሽርትት (ባህር ዳር)
long span	Bc	ረዥም እርምድ
longwave radiation	Gg	ረጅም ሞገድ ጭርር
loom	Em	ሽመና ዕቃ
loop	Em	ዙሮሽ
loop	Py	ማተብ
loop of Henle	Zo	ሄንሊ ቅርፅ-ሀ
lopolith	Gl	እንጉያ ድብቆ
loss	Ma	ኪሣራ
loss	Py	ቅንሰት
lot	Bc	ክፍት ቦታ
lot	St	እጣ
lound speaker	Em	ድምፅ ማጉያ
Love wave	Gl	ላብ ሞገድ
Love wave	Py	የላቭ ሞገድ
low carbon steel	Bc	ከሰላህ ብረት
lower bound	Ma	ታህታይ ገደብ
lower class boundary	St	መነሻ ምድብ ጠርዝ
lower class limit	St	መነሻ ምድብ ድንበር
lower esophagus	Ag	ታችኛንጦ (ታችኛ እንጦ)
lower integral (lower Rieman's integral)	Ma	ታህታይ እጉር
lower jaw	Zo	ታችኛ ግንጭል
lower limit	Ma	ታህታይ ወሰን
lower limit of integration	Ma	የእጎራ ታህታይ ወሰን
lower sum (lower Riemann's sum)	Ma	ታህታይ ድምር
lowest form (reduced form)	Ma	ቅልል ቅርጽ (መልክ)
low frequency (LF)	Em	ዝቅተኛ ፍሪቀንሲ (ዝፍ)
low latitude	Gg	ታቻዊ ኬክሮስ
low pass filter	Em	ዝቅተኛ ፍሪቀንሲ አጥላይ
low pressure	Gg	ዝቅተኛ ግፊ
loxodrome	Gg	ብሶል መስመር
lubricant	Ch	ቀቅባት፣ ማሟለጫ
lubricant	Em	ቅባት
lubricating oil	Ch	የዘይት ቅባት
lubricating oil	Em	ማለስለሻ ዘይት
lug	Em	ጆሮ
lumbar puncture	Me	ዠበር ሰቀዛ
lumbar vertebra	Me	ዠበር አከርካሪ
lumbar vertebrae	Zo	ክርክረ ወገብ (ወገብ አከርካሪ)
lumber	Gg	ጠርብ
lumbering	Gg	መጠ፟፟ረብ
lumen	Me	ቱቦ ቀዳዳ
luminiferous	Py	ብሩህ
luminosity	Bc	እንፀባራቂነት
luminous	Py	በሪ
lumped (adj.)	Py	ጭብጣዊ
lunar	Py	ጨረቃዊ
lunar eclipse	Py	ጨረቃዊ ግርዶሽ
lunar month	Gg	ጨረቃወር
lunar year	Gg	ጨረቃመት (ጨረቃ አመት)
lunch	Nu	ምሳ
lungfish	Zo	ባለሳንባ አሳ
lungwarm	Ag	ሳንባ ትል
lustre	Ch	አብረቅራቂነት
lustre	Gl	ፅርየት
luteinizing hormone	Me	ሉተናርጊ ሆርሞን
lycine	Nu	ላሲን
Lyman series	Py	የሊማን ሴሪ
lymh	Me	ፍርንትፍስ
lymph	Zo	ሊንፍ
lymphadenitis	Me	ፍርንት እጢ ብግነት
lymphangitis	Me	ፍርንት ስር ብግነት
lymphatic	Me	ፍርንታዊ (የፍርንት)
lymphatic capillary	Me	ፀጉሮ ፍርንት
lymphatic circulaion	Me	ፍርንት ዙርአት
lymphatic capillary circulation	Zo	ዘውረ ሊንፍ
lymphatic systme	Zo	ስርዓተ ሊንፍ
lymphatic vessel	Me	ፍርንት ስር
lymphedema	Me	ፍርንትስ እብጥ
lymph node	Me	ፍርንትት
lymph node	Zo	ሊንፍ እጢ
lymhocytes	Zo	ሕዋስ ሊንፍ
lyophillic	Ch	መበጥበጫ ወዳጅ
lyophobic	Ch	መበጥበጫ ጠል
lysis	Bt	ፍርሰት
lysis	Me	ፍርሰት
lysosome	Bt	አፈራራሽ ክፍለ ህዋስ
maceration	Me	መሾቅ
machine(v)	Em	መመሸን
machine	Py	መኪና
machinist	Em	መሻኝ
Maclaurin's series	Ma	ማክሎራዊ ልጥጥቅ
macro (prefix)	Ch	ልሂቅ
macroenvironment	Bt	ልሂቅ አካባቢ
macrofossils	Gl	ጉልህ ቅርስ ሕይወት
macronucleus	Bt	ልሂቅ ኑክለስ
micronutrient	Bt	ልሂቅ ንጥረምግብ
macrophage	Me	ባእድ በል
macro-pipette	Ch	ልሂቅ ምጥነኛ
macroscopic	Bt	ልሂቅ እይን
macroscopic	Me	ልሂቅ እይ
macroscopic	Py	ማክሮስኮፓዊ
macule	Me	ልቅመት (የቆዳ)
made ground	Bc	መጤ መሬት
mafic	Gl	ብረዚም
mafic mineral	Gl	ብረዚም ሚኒራል
maggot	Zo	ትሌ እጭ (ትልመሰል እጭ)
magma	Gg	ገሞራህፅም
magma	Gl	ቅላጭ ድንጋይ
magmatic segregation	Gl	ልይየ ቅላጭ ድንጋይ
magmatic stopping	Gl	ቅላጭ ድንጋይ ቁርጦ
magmatic water (juvenial water)	Gl	ድንጋየ ውሀ
magnet	Ch	ማግኔት
magnet	Py	ማግኔት፣ መግነጢስ
magnetic	Py	መግነጢሳዊ
magnetic circuit	Em	መግነጢሳዊ ዙር
magnetic declination	Gg	ምግነጣዊ ዝንበላ
magnitic field	Em	መግነጢሳዊ አውድ
magnitic field	Py	መግነጢሳዊ መስክ
magnietic flux	Py	መግነጢሳዊ ጉርፈት
magnetic force	Em	መግጢሳዊ ኃይል
magnetic induction	Py	መግጢሳዊ ስርፀት
magnetic lines force	Py	መግነጢሳዊ የሃይል መስመሮች
magnetic material	Ch	ማግኔታዊ ቁስ
magnetic meridian	Gg	ምግነጣዊ ዋልታ
magnetic motive force	Em	መግነጢሳዊ ግፊኃይል
magnetic north	Gg	መግነጢሳዊ ስሜት
magnetic north pode	Py	መግነጢሳዊ የሰሜን ዋልታ
magnetic permeability	Em	መግነጢሳዊ ስርገት
magnetic ploe	Gg	መግነጣዊ ዋልታ
magnetic poles	Em	ምግነጢሳዊ ዋልታዎች
magnetic poles	Py	መግጢሳዊ  ዋታዎች
magnetic reversal	Gl	ማግኔታዊ ግልብጥ
magnetic south pole	Py	መግነጢሳዊ የደቡብ ዋልታ
magnetic suseptibility	Py	መግነጢሳዊ ተጋልጦት
magnetic tape	Em	መግኔታዊ ጥብጣብ
magnetic variation	Gl	ማግኔታዊ ልውውጥ
magnetism	Py	መግነጢስነት
magnetite	Gl	ማግኔቲት
magnetization	Py	ምግነጣ
magnetize	Py	መመግነጥ
magnetometer	Py	መግነጦሜትር
magnetoshphere	Gg	መግነጢስ ህዋ
magnetoshphere	Py	ከባቢ መግነጢስ
magnetostatics	Py	መግነጦስታቲካ
magnification	Py	ጉላት
magnify	Py	ማጉላት
magnifying glass	Py	አጉይ መነጥር
magnitude	Ch	ትልቀት
magnitude	Ma	መጠን
magnitude	Py	ትልቀት
main effect	St	ዋነኛ ውጤት
mainfold	Bc	አከፋፋይ
mains	Em	ዋነ መስመር
mainshaft	Em	አብይ ኩላብ
maintenance	Ag	አቃቤዮታ
main tie	Bc	አውራ ግድም ጣራ
main vein	Bt	ዋና ስርው
major	Me	ዋና አባች
major arc	Ma	አቢይ ቅስት
major axis	Ma	አቢይ አክሲስ
majority	Py	ብዙሃን
majority carriers	Py	ብዙሃን አጓዦች
makintosh	Me	ውሃከል (ውሃ ከልካይ)
malaena	Me	ክሳሎ
malaise	Me	መጫጫን (የሰውነት)
malaria	Me	ወባ
male sterility	Me	ተባታይ ምክነት
malfunction	Me	ደንበወጥ ተግባር
malignant	Me	ቂመኛ
malingerer	Me	አውቆአመም
malleabiltiy	Ch	ተጠፍጣፊነት
malleable	Ch	ተጠፍጣፊ
malleable	Em	ታዛዥ
malleable	Gl	በቀላሉ ቅርጽ የሚሰጠው
malleolus	Me	ጠናግል
mallet	Bc	እንጨት መዶሻ
mallet	Em	እንጨት መዶሻ
malleus (hammer)	Zo	መዶሺት
malnourishment	Nu	ምግብ አጥነት
malnutrition	Me	ደንብ ወጥ አመጋገብ  ፣ ሽጥታ
malnutrition	Nu	ዝብተምግብ
Malpighian layer	Zo	ማልፒጊያን ድራብ
Malpighian tubules	Zo	ማልፒጊያን ቱቦዎች
malpresentation	Me	ደንብ ወጥ አመጣጥ (የሽል)
maltase	Nu	ማልቴዝ
maltose	Ch	ማልቶዝ
maltose	Nu	ማልቶስ
malty butter	Ag	ብቅልታ ቅቤ (ብቅል + ቅቤ)
malunion	Me	ቅሬሁባሬ
mammal (s)	Nu	አጥቢ
mammal	Zo	አጥቢ
mamary gland	Me	ጡት እጢ
mammary gland	Nu	ወተት እጢ
mammary gland	Zo	ወተት እጢ
mammary vein	Ag	ስርወተ ጡት
mammiliary	Gl	ጡት መሰል
mandible	Me	መንገጭላ (ታችኛው)
mandible	Zo	ግንጭል
mandrel	Em	ማመቻቻ ካላብ
mane	Ag	ጋማ
managanese nodule	Gl	ጉጤ ማንጋኒዝ
manhole	Em	ሰው መግቢያ
manipulation	Me	እርቃት
manometer	Ch	ማሮሜትር
manometer	Em	ማኖሜትር
manometer	Py	ማኖሜትር
mantissa of a logarithm	Ma	የሎጋሪዝም ሽርፍርፍ ቁጥር
mantle	Bc	ምድጃ አቀፍ
mantle (of the earth)	Gg	ልጤ (የመሬት)
mantle	Gl	ምድረ ማዕከል
mantle	Py	ቡጥከል
mantle rock	Gg	ልጤ አለት
mantoux (test)	Me	ማንቱ (ምርመራ)
manubrium	Me	እምቢያ
manufacturing	Gg	መፈብረክ
manure	Ag	ቀልዝ (የጎጃም አማርኛ)
manure	Bt	ፍግ
many electron atom	Py	ባለብዙ ኤሌክትሮን አቶም
manyplies	Zo	ሽንፍላ
map	Gl	ካርታ
mapping	Ma	ማጓደን
maquis	Gg	ጨብጨቦ
marasmus	Me	ከሸለል
marble	Gl	እብነ በረድ
marbling	Bc	እብነበረድ
margarine	Nu	እንጨት ቅቤ
marginal probability density fumction	St	ጎነኛ ይሆንታዊ ትፍገት ቅምብር
marginal total	St	ጎን  ድምር
marine	Bt	ባህራይ
marine	Gl	ባህራማ
marine algae	Bt	በባህራይ ዋቅላሚ
marine climate	Gg	ባህርማ አየር ቅጥ
marine terrace (plant form)	Gg	ባህርማ መደባደብ
mark	Ma	ምልክት
mark (n)	Py	ክትባት
mark (v)	Py	መከተብ
marl	Gg	ሸክሌ ኖራ
marl	Gl	ሸክላ ጠመኔ ዝቅጤ
marlstone	Gl	ሸክኖራ ድንጋይ (ሸክላማ ኖራ)
marrow	Zo	መቅን
marrow cavity	Zo	መቅን ወና
marsh	Gg	ፊላ
marsh gas	Ch	ጨለቅለቃ ጋዝ
marsupial	Zo	ኪሴ
masculature	Zo	ጡንችት
maser	Py	ሜዘር
mash	Ag	ምጥን
mask	Em	ጭምብል
masonary	Bc	ግንባታ
mass	Ch	መጠነ ቁስ አካል
mass	Em	አይገፌ
mass	Me	ጉብርታ (እበጥ)
mass	Py	መጠነቁስ (ስብሰበቁስ)
massaging	Me	ማሸት
mass-energy equation	Py	መጠነቁስ-ጉልበት እኩለት
massif	Gg	ገመገም
mass immuinzation	Me	ጠቅላላ ህዝብ ክትባት
massive bedding	Gl	ቅንጅት አልባ መደብ
mass movement	Gg	ግዘፈ ንደት
mass movement	Gl	ሕብረ እንቅስቃሴ
mass number	Py	ስብሰበ ቁስ ቁጥር
mass of nucleus	Py	የኑክሊየስ መጠነቁስ
massonetta	Bc	ቤቲት
mass selection	Ag	ያይተሽ ምልመላ
mass spectrograph	Py	የመጠነቁስ እስፔክትሮግራፍ
mass spectroscopy	Py	የመጠነቁስ ስነ እስፔክትሮስኮፕ
mass wasting	Gl	ህብረ ብክነት
master cylinder	Em	ዋና፟ ፍሬን በርሜሎ
mastitis	Ag	ደዌ ጡት
match	Ma	ማጣመድ
matching	Em	ማሻኮት
matching	Py	ምስስለት
material	Ch	ቁስ
material	Py	ቁሳቁስ
materializaion	Py	ቁሰት
materialize	Py	ማቆስ
maternal	Me	እናት (የ)
mathematical discovery	Ma	ማቲማቲካዊ ግኝት
mathematics	Ma	ማቲማቲካ
mating	Ag	ውስቦ (ተዋስቦ)
matrix	Gl	አቃፊ (ለኢኒን)
matrix	Ma	ድርድር
matte	Ch	ስቅብረት
matter	Ch	ቁስ አካል
matter	Py	ቁስ
matter waves	Py	የቁስ ሞገድ
mature rever	Gg	ጉልምስ ወንዝ
mature soil	Gg	ጉልምስ አፈር
mature valley	Gg	ጉልምስ ሸለቆ
maturity	Ag	ጉምረት (መጎምረት)
maxilla	Zo	ላይኛ ግንጭል
maxillae	Me	መንገጭላ (ላይኛው)
maxillary pulp	Zo	ግንጭላዊ ማህሰስ
maximimzaion	Ma	አልእሎት
maximize	Ma	ማምለል
maximize	Ma	መልእል
maximum	Py	ከፍተኛ
maximum	St	ከፍተኛ
maximum thermometer	Gg	መልእል ሙቀት ሜትር
MCH (maternal child health service)	Me	የእናቶች የህፃናት ጤና አገልግሎት (እህጤ)
mean	Py	መካከለኛ
mean	St	አማካይ
mean absolute deviation	St	አማካይ ፍፁማዊ ልዩነት
mean absolute deviaion about the mean	St	አማካይ ፍፁማዊ ልዩነት ከአማካይ
mean absolute deviaion about the median	St	አማካይ ፍፁማዊ ልዩነት ከገሚስ
mean annual temperature	Gg	አማካይ አመታዊ ልከ ሙቀት
mean daily temperatute	Gg	አማካይ እለታዊ ልከሙቀት
meander	Gg	መጥመዝመዝ
meander	Gl	ጥምዝምዝ
mean deviation	St	አማካይ ልዩነት (ርቆሽ)
mean free path	Py	መካለኛ ነፃ ሰርጥ
mean monthly temperaturte	Gg	አማካይ ወርሃዊ ልከሙቀት
mean sea level	Gg	አማካይ ባህር ወለል
mean sloar day	Py	መካከለኛ የፀሃይ ቀን
mean square	St	አማካይ ካሬ
mean squqre error	St	አማካይ ካሬ ስህተት
mean temperature	Gg	አማካይ ልከሙቀት
mean value theorem	Ma	አማካይ ዋጋ ቲዎረም
measles (rubella)	Me	ኩፍኝ
measurable	Ma	ተለኪ
measure (to)	Ch	መለካት
measure of central tendency	St	ማእከላይ አዝማሚያ መለኪያ
measure of dispersion (scatter)	St	ልይት መለኪያ
measure of relative variation	St	የአንፃራዊ ልይይት መለኪያ
measurement	Ch	ልከታ
measurement	Ma	ልኬት
measurement	Py	ልካት
measurement	St	መሰፈርት
measuring instrument	Ch	መለኪያ መሳርያ
meatus	Me	ቀዳዳ
mechanic	Py	ሜካኒክ
mechanical advantage	Py	ሜካኒካዊ ጥቅም
mechanical digestion	Nu	ሜካኒካላዊ የምግብ አፈጫጨት
mechanical energy	Py	ሚካኒካዊ ጉልበት
mechanical equilibrium	Py	ሜካኒካዊ ተማዝኖ
mechanical equivalent of heat	Py	የግለት ሜካኒካዊ ወደር
mechanical isolaion	Zo	ኢትውድጃ ልይታ
mechanical weathering	Gl	ሚካኒካዊ ፍርፍር
mechanics	Py	ሚካኒካ
mechanism	Ch	ክንውንውታ
mechanism	Em	ሜካኒዝም
mechanize	Gg	መመክነክ
meconium	Me	ቁጣጥ
median	Me	ዘበመአካል
medial moraine	Gg	ማእከላይ እንግፎ
median	Bt	መሃልከፋይ
median	Ma	ማልከፋይ (መሀል ከፋይ)
median	St	ገሚስ
median efective dose	St	ገሚስ - ነክ ልኬት
median lethal dose	St	ገሚስ - ገዳይ ልኬት
mediastinum	Me	ደረት አካፋይ ፣ እልቀት
medication	Me	መድሃኒት አሰጣጥ
medicine (as a medical profession)	Me	ህክምና
medicine (as an educational discipline	Me	(የ) ህክምና ትምህርት
medicine (substance in treating disease)	Me	መድሃኒት
medico-legal	Me	ህገነክ ህክምና
Mediterranean climate	Gg	ሜዲትራንያናዊ አየር ቅጥ
medium	Py	አማካኝ (ወሳጭ)
medium wave	Em	መካከለኛ ሞገድ
medium wave (light radiation)	Gg	ማእከላዊ ሞገድ (ብርሃን ጭርር)
medulla	Zo	ቡጥ
medulla oblongate	Me	ራስ ሰረሰር
medualla oblongata	Zo	ሰርሰርጌ አንጎ
mega	Py	ሜጋ
mega cycle	Py	ሜጋ እውድ
megalopolis	Gg	ክትምትም
megascopic (macroscopic)	Gl	ትዕይንተ ጉልህ
magaspor angium	Bt	ልሂቅ ማደረዱኬ
megaspore	Bt	ልሂቅ ዱኬ
megatherms	Gg	ብዙግልወዳድ
megawatt	Py	ሜጋዋት
meiosis	Ag	አቻ ዘር ገመሳ
meisosis	Zo	ቅናሴ
meissiner's corpuscle	Zo	ሜዝነር አካል
melanin	Zo	አፅላሚማ
melanocyte	Zo	ሕዋስ አፅላሚ
melt(n)	Ch	ቅላጭ
melt (to)	Ch	መቅለጥ ፣ ማቅለጥ
melt	Py	መቅለጥ
melting	Ch	ቅልጠት
melting point	Ch	ነጥበ ቅልጠት
melting point	Py	የቅልጠት ነጥብ
membrance	Me	ገለፈት
membrane	Py	ብራና
memory	Em	አስታውሴ
memory	Py	ልቦና
menarche	Me	ጅምራት
mendelism	Zo	መንዴላዊነት
meninges	Me	አንጎል ሰረሰር ልባስ ፣ አልባስ
meninges	Zo	ሽፋን
meningitis	Me	ማጅራት ገትር
meniscus	Ch	እጠፈ በይነገፅ
meniscus	Gg	ማጭዴ
meniscus	Py	ሜኒስከስ
menopause	Me	ማረጥ
menopause	Zo	እርጣት
menustral cycle	Zo	ዑደተ ፅዳት
menustration (monthly cycle)	Me	ወር አበባ
menustration	Zo	ፅዳተ ማህፀን
Mercator's projection	Gg	ሜርካተር ውድቂያ
mercury	Ch	ባዜቃ
mercury	Py	ባዜቃ
meridian	Gg	ዋልቴ
Merino sheep	Gg	መሪኖ ጎፍላ በግ
meristem	Bt	አደግ
mesa	Gg	አምባ
measa	Gl	አምባ
mesaphere	Gl	ማዕከለ ክበብ
mesentery	Me	አንጀት ሽንሽን
mesentery	Zo	ማዕሰረ አንጀት (ማዕሰረ ሆድቃ)
mesh	Bc	ምርብ
mesh	Ch	ፍርግርግ
mesh (of-loop)	Em	መዋደድ
mesh (for gear)	Em	ዙሮሽ
mesh reinforcement	Bc	ምርብ ብረዘንግ
mesocarp	Bt	መሃልፍሬ ገበር
mesocolon	Me	ደንዳኔ ሽንሽን
mesoderm	Bt	መሃል ገበር
mesoderm	Zo	መካከላዊ ገላፅንስ
mesoglea	Zo	ምልጌ መሃል
meson	Py	ሜዞን
mesonephric duct	Zo	መሀል ኩላሊት ቦይ
mesonephros	Zo	መሂል ኩላሊት
meson field	Py	የሜዞን መስ
mesopause	Gg	ስሯፅጌ (ስሯፅ = መሃል የሚገባ)
mesophyll	Bt	መሀሃልቅጠል
mesohyte	Ag	ጠል አደግ ዕፅ
mesophyte	Bt	ጠል አደግ ዕፅ
mesophytes	Gg	ማህልያፅ (ማህልያ እፅ)
